Date,Open,High,Low,Close,Volume
01 08 2017,182.490005,184.619995,181.429993,182.029999,5112700
02 08 2017,182.220001,182.570007,177.809998,180.740005,5771300
03 08 2017,180.529999,181.220001,178.020004,179.229996,4627700
04 08 2017,179.600006,181,178.5,180.270004,4491100
07 08 2017,181,182.270004,179.100006,181.330002,4609800
08 08 2017,181.369995,181.910004,177.449997,178.360001,6104000
09 08 2017,171.429993,175.960007,170.009995,175.779999,9670500
10 08 2017,174.029999,174.449997,167.600006,169.139999,9693100
11 08 2017,169.860001,172.580002,169,171.399994,5022300
14 08 2017,169.800003,172.449997,168.800003,171,7468400
15 08 2017,171.529999,171.880005,168.25,168.5,5656100
16 08 2017,167.5,170.5,166.25,169.979996,7013600
17 08 2017,169.229996,170.580002,165.720001,166.089996,5229200
18 08 2017,165.949997,169.970001,165.800003,166.539993,7385700
21 08 2017,166.910004,168.990005,164.229996,166.759995,6480700
22 08 2017,167.759995,169.929993,167.039993,169.339996,4886300
23 08 2017,168.350006,169.639999,166.699997,169.059998,4632300
24 08 2017,169.860001,171.240005,166.149994,168.130005,5361700
25 08 2017,168.580002,168.75,165.5,165.949997,4064000
28 08 2017,166.429993,168.669998,165.600006,167.119995,3657300
29 08 2017,165,169.679993,164.729996,168.809998,4620900
30 08 2017,169.5,174.850006,169.369995,174.690002,8034700
31 08 2017,175.449997,176.240005,173.860001,174.710007,6941000
01 09 2017,175.550003,176.479996,173.919998,174.740005,3813000
05 09 2017,173.399994,175.880005,172.440002,174.520004,4589500
06 09 2017,175.25,179.460007,173.729996,179.25,8742600
07 09 2017,178.800003,180.350006,177.100006,179,6036100
08 09 2017,178.449997,180.389999,176.25,176.419998,4590800
11 09 2017,178.100006,182.470001,178.029999,181.740005,5979400
12 09 2017,182.550003,185.330002,180.639999,185.149994,6689600
13 09 2017,184.070007,184.5,182.550003,183.639999,4320300
14 09 2017,183.25,185.289993,182.070007,182.630005,4510700
15 09 2017,182.729996,184.929993,181.429993,182.350006,5591700
18 09 2017,183.610001,185.449997,182.729996,184.619995,5359600
19 09 2017,184.979996,186.229996,184.169998,185.679993,4982100
20 09 2017,186.100006,186.5,183.199997,185.509995,4625000
21 09 2017,185.820007,189.949997,184.509995,188.779999,7148100
22 09 2017,188.399994,189.850006,186.389999,187.350006,5464300
25 09 2017,186.460007,186.550003,177.699997,178.550003,9367200
26 09 2017,180.699997,180.949997,176.550003,179.380005,5602500
27 09 2017,181.009995,183.339996,180.699997,181.970001,5710500
